dataset,concept,contribution,contribution_synth,contribution_real,activation_prob,usage_synth,usage_real,auc,n_images
synthclic,shadow_color,1.334758e-07,1.460342e-07,8.324152e-08,0.00010337921,0.0,0.0,0.54563239693423,2140
synthclic,highlight_color,0.28623062,0.30694804,0.20336203,0.32337087,0.3405373831775701,0.23130841121495327,0.5656034369813958,2140
synthclic,gamut_clipping,-0.009650085,-0.004088359,-0.03189707,0.02803535,0.004672897196261682,0.08177570093457943,0.7648088806882697,2140
synthclic,depth_of_field,0.021631664,0.023496846,0.014170941,0.04353898,0.04147196261682243,0.02336448598130841,0.5350753886802341,2140
synthclic,bokeh_quality,-0.011716975,0.0007503812,-0.06158634,0.081776746,0.029789719626168224,0.20327102803738317,0.7588817800681282,2140
synthclic,chromatic_aberration,-0.03285563,-0.012357336,-0.11484909,0.06198582,0.010514018691588784,0.20327102803738317,0.7876493034326142,2140
synthclic,vignetting,0.0014172732,0.0013642568,0.0016293469,0.027373683,0.008177570093457943,0.04439252336448598,0.6516003035199581,2140
synthclic,lens_distortion,-7.7282515e-08,-8.368987e-08,-5.165315e-08,0.000109029286,0.0,0.0,0.5533930365097388,2140
synthclic,fisheye_effect,-3.0032183e-09,-3.0511467e-09,-2.811509e-09,0.00011051432,0.0,0.0,0.5641615807057385,2140
synthclic,field_curvature,0.0077913585,0.00929361,0.001782339,0.020246059,0.008761682242990653,0.007009345794392523,0.5593242313739192,2140
synthclic,lens_flare,0.2552834,0.30934796,0.039025404,0.35204124,0.42757009345794394,0.04439252336448598,0.8353772709406936,2140
synthclic,ghosting,-3.280753e-08,-3.3519516e-08,-2.9959683e-08,0.00010118155,0.0,0.0,0.5063610904882522,2140
synthclic,sunstars,-0.016993219,-0.005550185,-0.06276549,0.054410826,0.012266355140186916,0.16121495327102803,0.7742474779456722,2140
synthclic,focus_accuracy,1.3332441e-09,1.4111077e-09,1.0217923e-09,0.000108479515,0.0,0.0,0.5454249552362651,2140
