cue,d_q,delta,delta_sd,delta_ci_lo,delta_ci_hi,n_pairs,n_clusters,n_generators,within_class_r,family,label
hdr_tonemapping,0.27702939286953254,0.006661981182611339,0.02404792182376406,0.004726570442446318,0.008557284763967441,1712,428,4,0.0333778649514611,detail_texture,smooth local contrast
depth_of_field,0.27519538246567815,0.005750504834225543,0.02089608038733257,0.004132940076709117,0.0074523205113925725,1712,428,4,0.0009941298297296,physics_optics,"aperture consistent blur
gradient"
proportion_realism,0.27212004590299654,0.006037058233316466,0.022185275668623525,0.004339376436344832,0.007709086442998481,1712,428,4,0.0603188581927699,other,plausible body proportions
color_accuracy,0.2573822358820062,0.0077275741474151,0.030023727631916734,0.00520413326738928,0.01021291517957955,1712,428,4,0.1380840234953894,tone_color,true to scene hues
ghosting,0.2559438634739528,0.006161087473484369,0.024072026536832273,0.004142234802290837,0.008034472867716982,1712,428,4,0.0959100342127987,physics_optics,minimal ghosting
reflection_consistency,0.2427111781230274,0.005866863134596443,0.024172199978455877,0.003953848847071627,0.007772661233043355,1712,428,4,0.0060996226414049,other,plausible reflections
macro_rendering,0.24071347065671983,0.005373526999148886,0.022323333149942587,0.003682712910361348,0.0071549307851689,1712,428,4,-0.0202446720562003,physics_optics,crisp macro detail
horizon_line,0.2361631786713212,0.005561386772244022,0.02354891564185817,0.003703947116000752,0.007412947805048166,1712,428,4,0.1000171974820036,detail_texture,level horizon
cross_processing,0.23189441048587067,0.007150664363885778,0.03083586339534246,0.00463601354817847,0.009659332462486576,1712,428,4,-0.0015309460341107,other,no cross processing
specular_noise,0.22551891820053502,0.005614683576767904,0.024896729824569475,0.0035856215499872513,0.0077084255339106384,1712,428,4,-0.0051801341091692,other,micro sparkle preserved
color_banding,0.22066685420592666,0.00555620515566499,0.02517915604343519,0.0035130128838016593,0.007672775399388338,1712,428,4,0.1348996282317717,tone_color,smooth gradients
smartphone_cues,0.21539213652601122,0.006893225571048409,0.03200314404335726,0.004239282301525051,0.009510199170417143,1712,428,4,-0.0294443345358915,provenance_process,"moderate smartphone
processing"
backlighting,0.21218767464271726,0.0048607092590253155,0.022907594737582207,0.0030741620375623886,0.006673012537655737,1712,428,4,0.1776843254576947,detail_texture,controlled rim light
count_consistency,0.20277383227909518,0.004592793086503151,0.02264983126709216,0.002881484185974106,0.006356787764362731,1712,428,4,0.1246264707350174,other,correct object counts
rolling_shutter,0.19436676878883408,0.004601588008771164,0.023674767232306403,0.002746252597793177,0.006454159406082645,1712,428,4,0.0474268784932866,provenance_process,minimal skew
subject_isolation,0.1766316096886446,0.003811625351481695,0.021579519986261772,0.002140191602899753,0.005459267801352772,1712,428,4,0.0115689894306118,detail_texture,strong subject isolation
highlight_color,0.1711454169675926,0.004924308291643581,0.028772656486477973,0.0027261898609273003,0.007129794767923234,1712,428,4,0.1458792590650822,tone_color,neutral highlight color
dynamic_range,0.16974535806215885,0.004066427059727082,0.02395604278167066,0.002245226446849242,0.005904861706190471,1712,428,4,0.0585740598201947,tone_color,wide dynamic range
focus_accuracy,0.16821257350005456,0.0037850313151742503,0.022501476770837362,0.001995667957008381,0.0055389296096938325,1712,428,4,-0.0168667203319501,physics_optics,precise focus
