dataset,split,source,attribute,n,q25,median,q75
synthbuster-plus,train,FLUX.1-dev,noisiness,640,0.10443579550804927,0.21385319907520034,0.38871259999090063
synthbuster-plus,train,FLUX.1-dev,quality,640,0.9421279196828829,0.9752289520657873,0.9890981831031426
synthbuster-plus,train,FLUX.1-dev,realness,640,0.14589821027694452,0.2892586713222898,0.5217581228192762
synthbuster-plus,train,FLUX.1-dev,relaxation,640,0.9513071858787059,0.9888942371241469,0.9962023248841023
synthbuster-plus,train,FLUX.1-dev,scariness,640,0.008338143931504421,0.0814879143211659,0.37478732634139267
synthbuster-plus,train,FLUX.1-dev,sharpness,640,0.8737254509443135,0.9511266232693414,0.9807872142558819
synthbuster-plus,train,FLUX.1-dev,warmness,640,0.5064579767469752,0.71442413117141,0.8470511698261877
synthbuster-plus,train,FLUX.1-schnell,beauty,640,0.936038516270222,0.9771751687243353,0.9909015079306338
synthbuster-plus,train,FLUX.1-schnell,brightness,640,0.7856368451365782,0.9430710803741954,0.9851521251316022
synthbuster-plus,train,FLUX.1-schnell,colorfulness,640,0.5583957026949002,0.8340555758661354,0.9567242998809763
synthbuster-plus,train,FLUX.1-schnell,complexity,640,0.26901681152060986,0.4696486866688172,0.7186596446513983
synthbuster-plus,train,FLUX.1-schnell,contrast,640,0.23092843128865356,0.3265430520952255,0.4589051664738695
synthbuster-plus,train,FLUX.1-schnell,happiness,640,0.5132357741648099,0.7376645168531639,0.8483159305504384
synthbuster-plus,train,FLUX.1-schnell,loneliness,640,0.7145309046693398,0.8685841367885976,0.9473414083976909
synthbuster-plus,train,FLUX.1-schnell,naturalness,640,0.7014076997737542,0.8801961177447735,0.952380352101287
synthbuster-plus,train,FLUX.1-schnell,newness,640,0.5885465382723631,0.7301659972479186,0.8253319055388124
synthbuster-plus,train,FLUX.1-schnell,noisiness,640,0.1160463146136386,0.25369407357328244,0.46547374335515923
synthbuster-plus,train,FLUX.1-schnell,quality,640,0.9317103225550776,0.9736190793300669,0.9901047642397768
synthbuster-plus,train,FLUX.1-schnell,realness,640,0.148852331505259,0.3384629497605057,0.5971592478414474
synthbuster-plus,train,FLUX.1-schnell,relaxation,640,0.9429373883263299,0.9871095982108398,0.9963122748541927
synthbuster-plus,train,FLUX.1-schnell,scariness,640,0.009386129495105231,0.0645787573984497,0.4013414905742703
synthbuster-plus,train,FLUX.1-schnell,sharpness,640,0.9038079362147043,0.9601005010844179,0.9861017871469213
synthbuster-plus,train,FLUX.1-schnell,warmness,640,0.4979661046324138,0.6850033846854308,0.8484234846064735
synthbuster-plus,train,SD3-medium,beauty,640,0.951473019870771,0.9815437660551123,0.9922172066049648
synthbuster-plus,train,SD3-medium,brightness,640,0.760821849482209,0.9331070962271317,0.9811207152777601
synthbuster-plus,train,SD3-medium,colorfulness,640,0.5746509130936298,0.8724370390307878,0.9700982358445229
synthbuster-plus,train,SD3-medium,complexity,640,0.3234551358283208,0.5272594845013079,0.752086784555544
synthbuster-plus,train,SD3-medium,contrast,640,0.25243896771696706,0.3813135598147186,0.49683282306663734
synthbuster-plus,train,SD3-medium,happiness,640,0.4185023717926451,0.6652409838266086,0.8135378320768814
synthbuster-plus,train,SD3-medium,loneliness,640,0.6982113307503546,0.8616626323685415,0.948368830582414
synthbuster-plus,train,SD3-medium,naturalness,640,0.5300254306478208,0.7452396789474747,0.8849962437106907
synthbuster-plus,train,SD3-medium,newness,640,0.6236047594716434,0.7492978702290227,0.8556954841606985
synthbuster-plus,train,SD3-medium,noisiness,640,0.14896626933147744,0.291330534909829,0.5159033398570793
synthbuster-plus,train,SD3-medium,quality,640,0.9178263088501314,0.9665445656481891,0.9867413878122955
synthbuster-plus,train,SD3-medium,realness,640,0.10247058625216918,0.2772483251641018,0.6384928072544005
synthbuster-plus,train,SD3-medium,relaxation,640,0.9343207723574088,0.985798287434379,0.9968175645908421
synthbuster-plus,train,SD3-medium,scariness,640,0.01644688495260692,0.11045510786070609,0.4774425012202491
synthbuster-plus,train,SD3-medium,sharpness,640,0.9072866666698787,0.9653093706682729,0.9879485177367474
synthbuster-plus,train,SD3-medium,warmness,640,0.46936494943530194,0.6839427165342284,0.8222176169245555
synthbuster-plus,train,imagen3,beauty,640,0.9409215109906592,0.9766937761895453,0.991132771518409
synthbuster-plus,train,imagen3,brightness,640,0.7497238603489621,0.9111086456703712,0.9713855882595315
synthbuster-plus,train,imagen3,colorfulness,640,0.6118687444037478,0.8265217488978884,0.9472477225258011
synthbuster-plus,train,imagen3,complexity,640,0.3716846520906907,0.5709946052440787,0.7718200279584021
synthbuster-plus,train,imagen3,contrast,640,0.22480282461484608,0.3338978983416222,0.43978450202113073
synthbuster-plus,train,imagen3,happiness,640,0.5255778891106773,0.6991960301289066,0.8414149661511359
synthbuster-plus,train,imagen3,loneliness,640,0.6431160597138725,0.8279365983626221,0.9259295536774423
synthbuster-plus,train,imagen3,naturalness,640,0.6584378335085006,0.8414273618488329,0.93397303669688
synthbuster-plus,train,imagen3,newness,640,0.7024298447604855,0.8133387168491091,0.8763277112539808
synthbuster-plus,train,imagen3,noisiness,640,0.1785640818080872,0.31286314969222273,0.49682570717775565
synthbuster-plus,train,imagen3,quality,640,0.947683249361528,0.9755304983095301,0.9884443318059072
synthbuster-plus,train,imagen3,realness,640,0.2900862693994415,0.5230208599492545,0.7397033728160279
synthbuster-plus,train,imagen3,relaxation,640,0.9500525894502523,0.9878325442216305,0.9960006191715455
synthbuster-plus,train,imagen3,scariness,640,0.008550704187501089,0.06566016266648027,0.3048630188917895
synthbuster-plus,train,imagen3,sharpness,640,0.9359463303765978,0.9739107903780173,0.9899791663338823
synthbuster-plus,train,imagen3,warmness,640,0.49568533937206455,0.7053465215101636,0.8253185799014064
synthbuster-plus,train,raise1k,beauty,640,0.7628649971830886,0.8919929291382909,0.9507760483304653
synthbuster-plus,train,raise1k,brightness,640,0.6716362278086005,0.8761584685669404,0.9545106452671281
synthbuster-plus,train,raise1k,colorfulness,640,0.24672383677604565,0.5221554036538052,0.8109840105261535
synthbuster-plus,train,raise1k,complexity,640,0.3389049840884685,0.5484777827937449,0.7731491055570882
synthbuster-plus,train,raise1k,contrast,640,0.22589831879230082,0.3112389155009202,0.40816065069956436
synthbuster-plus,train,raise1k,happiness,640,0.5976123478629486,0.7731725922468693,0.8735048048450895
synthbuster-plus,train,raise1k,loneliness,640,0.6093504696290204,0.8199406260734594,0.9110457921158454
synthbuster-plus,train,raise1k,naturalness,640,0.48917820216540103,0.7558030547845427,0.8950496676827588
synthbuster-plus,train,raise1k,newness,640,0.5559198323133949,0.7003175568569571,0.7996425582821267
synthbuster-plus,train,raise1k,noisiness,640,0.4185232999081604,0.5741927232062682,0.7396710942368953
